mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,60_percentile_activity_duration,90_percentile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
5.682,24.126,1.136,0.163,1.000,1.700,39.452,213.210,0.000,0.000,31.520,105.257,0.000,0.000,123.000,134.520,356.300,566.640,136.777,238.864,1.467,1.721
5.705,25.754,1.140,0.167,1.000,1.800,38.221,211.495,0.000,0.000,30.797,105.837,0.000,0.000,123.000,134.000,356.050,460.120,136.633,236.634,1.447,1.693
5.682,26.035,1.163,0.183,1.000,2.000,38.793,211.455,0.000,0.000,30.263,104.883,0.000,0.000,123.000,134.520,356.050,458.480,135.147,237.189,1.430,1.734
5.744,29.725,1.262,0.384,1.000,2.000,38.573,212.354,257.434,101.595,30.530,107.277,15.127,7.607,123.000,134.520,378.150,564.040,160.540,419.524,1.503,1.936
5.744,30.376,1.262,0.384,1.000,2.000,39.649,212.027,257.434,101.595,30.320,105.573,15.127,7.607,123.000,160.060,378.150,566.080,158.627,419.501,1.477,1.940
5.523,30.295,1.326,0.545,1.000,2.000,36.013,125.683,892.796,8184.804,27.463,93.270,147.053,705.910,134.000,4476.340,449.200,821.820,973.697,8755.732,2.447,10.664
5.738,29.431,1.439,0.734,1.000,2.000,36.047,126.762,892.796,8184.804,27.997,96.690,147.053,705.910,134.000,4476.340,453.150,821.820,977.650,8755.366,2.480,10.661
5.690,33.833,1.452,0.724,1.000,2.000,36.187,127.949,1182.544,79212.541,27.473,95.303,222.813,5283.890,135.450,4990.500,474.400,1813.480,5629.480,79961.052,6.830,74.179
5.386,33.055,1.465,0.714,1.000,2.000,36.727,129.257,1182.544,79212.541,27.510,95.077,222.813,5283.890,135.450,4990.500,474.400,1813.480,5629.290,79961.069,6.830,74.179
5.386,33.555,1.465,0.714,1.000,2.000,36.463,124.670,1182.544,79212.541,26.663,89.743,222.813,5283.890,135.450,4990.500,474.400,1813.480,5623.110,79961.486,6.797,74.182
5.690,34.071,1.452,0.724,1.000,2.000,36.286,124.228,1182.544,79212.541,25.997,87.497,222.813,5283.890,135.450,4990.500,474.400,1813.480,5620.197,79961.686,6.763,74.184
5.762,33.943,1.415,0.682,1.000,2.000,36.574,123.781,1182.544,79212.541,25.120,81.703,222.813,5283.890,135.450,4990.500,486.400,1813.480,5613.527,79962.145,6.703,74.189
5.976,32.316,1.375,0.684,1.000,2.000,34.813,120.103,1182.544,79212.541,23.330,76.607,222.813,5283.890,134.000,4990.500,478.800,1813.480,5606.640,79962.610,6.623,74.193
5.744,30.190,1.262,0.479,1.000,2.000,35.406,122.132,1156.901,79212.983,23.597,78.173,207.687,5276.283,134.000,4990.500,470.100,1813.480,5585.740,79963.290,6.577,74.192
6.225,37.874,1.275,0.499,1.000,2.000,35.268,134.655,1156.901,79212.983,23.463,80.020,207.687,5276.283,134.000,4990.500,470.100,1813.480,5587.453,79963.195,6.570,74.192
6.946,43.889,1.194,0.323,1.000,2.000,36.318,130.834,789.688,78829.556,24.853,78.883,75.760,4577.980,123.000,134.580,344.050,620.200,4757.477,79531.444,5.527,73.502
6.842,35.028,1.081,0.075,1.000,1.000,35.456,131.294,789.688,78829.556,23.063,75.723,75.760,4577.980,123.000,134.580,344.050,620.200,4752.527,79531.735,5.447,73.507
7.000,34.270,1.139,0.175,1.000,1.500,35.023,128.338,733.572,10452.805,22.663,73.277,99.587,630.817,123.550,2102.060,397.150,763.640,826.343,10977.479,1.973,12.675
7.676,43.042,1.147,0.184,1.000,1.700,36.080,129.955,733.572,10452.805,23.073,75.040,99.587,630.817,134.000,2102.060,402.250,763.640,828.517,10977.366,1.990,12.681
