mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
16.588,155.772,1.125,0.109,1.000,1.000,1.500,78.250,61.286,694.105,491.668,12.760,19.460,110.420,59.327,82.700,3251.260,245.300,707.420,201.967,1172.496,0.633,2.512
17.625,196.734,1.125,0.109,1.000,1.000,1.500,78.466,55.952,694.105,491.668,12.940,17.557,110.420,59.327,134.000,3251.260,191.800,707.420,200.243,1172.479,0.630,2.514
18.933,236.996,1.143,0.122,1.000,1.000,1.700,78.143,55.356,574.796,342.919,12.360,16.770,87.623,38.820,72.400,3059.840,159.550,657.920,155.573,909.808,0.533,2.145
18.933,230.062,1.143,0.122,1.000,1.000,1.700,76.570,52.392,531.249,221.453,12.227,16.050,75.100,27.030,72.400,948.020,139.850,311.060,130.407,767.745,0.477,1.821
18.933,250.329,1.143,0.122,1.000,1.000,1.700,76.556,52.241,531.249,221.453,12.093,15.760,75.100,27.030,72.400,948.020,139.850,311.060,129.983,767.782,0.470,1.819
18.933,288.996,1.143,0.122,1.000,1.000,1.700,76.849,48.471,531.249,221.453,12.273,14.403,75.100,27.030,82.700,948.020,129.100,311.060,128.807,767.714,0.467,1.823
14.474,231.934,1.389,0.682,1.000,1.000,2.300,76.543,164.864,2950.889,45301.193,11.960,22.777,480.560,3597.950,1003.600,4825.060,667.300,3337.700,4113.247,47316.806,4.680,48.213
10.833,211.472,1.739,1.149,1.000,1.200,3.800,76.514,164.577,3648.275,49428.055,11.693,21.823,790.233,5211.087,3884.400,14395.700,1638.550,17839.120,6034.837,51484.555,6.727,52.056
10.000,202.960,2.083,2.660,1.000,2.000,4.000,80.957,173.096,4307.412,69882.935,14.480,28.540,1149.627,8506.300,7195.400,17585.920,3347.400,62962.140,9698.947,72453.817,10.897,72.646
8.679,161.290,2.111,2.765,1.000,2.000,4.000,81.277,173.421,4317.362,69892.651,15.460,30.400,1193.563,8626.127,7195.400,17585.920,5931.400,62962.140,9865.550,72466.053,11.190,72.669
7.250,116.125,2.194,2.543,1.000,2.000,4.000,81.755,185.222,4328.579,69888.636,17.280,39.780,1266.273,8661.317,7195.400,17585.920,5931.400,62962.140,9984.650,72453.289,11.543,72.639
5.475,78.199,2.025,2.124,1.000,2.000,4.000,82.382,188.941,4374.061,69883.233,19.280,45.803,1376.847,8710.937,8491.350,17585.920,5931.400,62962.140,10152.867,72439.279,12.007,72.618
