mean_silence_duration,variance_silence_duration,mean_activity_duration,variance_activity_duration,30_quartile_activity_duration,60_quartile_activity_duration,90_quartile_activity_duration,tcp_upload_bytes_std_dev,tcp_download_bytes_std_dev,udp_upload_bytes_std_dev,udp_download_bytes_std_dev,tcp_upload_bytes_mean,tcp_download_bytes_mean,udp_upload_bytes_mean,udp_download_bytes_mean,95_percentile_upload_bytes,98_percentile_upload_bytes,95_percentile_download_bytes,98_percentile_download_bytes,bytes_mean,bytes_std_dev,packets_mean,packets_std_dev
13.800,116.160,1.263,0.194,1.000,1.000,2.000,30.451,89.431,0.000,0.000,11.353,25.633,0.000,0.000,84.000,124.000,175.100,232.220,36.987,111.868,0.463,1.212
11.870,123.331,1.227,0.176,1.000,1.000,2.000,32.703,99.859,0.000,0.000,12.153,29.520,0.000,0.000,94.000,124.200,181.100,308.980,41.673,125.412,0.517,1.429
11.826,110.057,1.273,0.198,1.000,1.000,2.000,34.016,98.504,0.000,0.000,12.880,28.977,0.000,0.000,120.000,134.000,179.100,245.280,41.857,124.947,0.533,1.450
11.292,111.707,1.261,0.193,1.000,1.000,2.000,32.441,97.293,411.732,159.455,11.753,27.173,45.750,16.483,124.000,134.000,185.600,497.160,101.160,578.757,0.630,1.918
10.800,112.160,1.250,0.188,1.000,1.000,2.000,33.052,98.049,428.408,177.614,12.020,27.877,52.750,21.063,124.000,135.320,197.600,701.000,113.710,616.959,0.663,1.997
11.783,141.388,1.318,0.217,1.000,1.000,2.000,32.407,97.506,428.408,177.614,11.620,26.857,52.750,21.063,124.000,135.320,197.600,701.000,112.290,616.916,0.643,1.982
12.273,156.017,1.304,0.212,1.000,1.000,2.000,33.234,95.684,428.408,177.614,12.213,26.607,52.750,21.063,124.000,135.320,197.600,701.000,112.633,616.533,0.653,1.973
12.409,157.151,1.286,0.204,1.000,1.000,2.000,31.627,93.826,428.408,177.614,10.553,23.533,52.750,21.063,124.000,135.320,181.800,701.000,107.900,616.493,0.587,1.940
13.750,171.688,1.316,0.216,1.000,1.000,2.000,30.506,67.444,428.408,177.614,9.220,16.910,52.750,21.063,124.000,135.320,114.200,408.960,99.943,613.124,0.517,1.886
11.783,151.996,1.318,0.217,1.000,1.000,2.000,32.343,72.404,428.408,177.614,10.613,19.850,52.750,21.063,124.000,135.320,122.900,408.960,104.277,613.543,0.570,1.921
12.409,171.696,1.286,0.204,1.000,1.000,2.000,31.266,72.018,428.408,177.614,9.753,19.097,52.750,21.063,124.000,135.320,122.900,408.960,102.663,613.542,0.543,1.907
16.294,188.208,1.438,0.246,1.000,2.000,2.000,27.978,48.256,428.408,177.614,7.887,11.573,52.750,21.063,124.000,134.000,114.000,338.780,93.273,611.042,0.437,1.722
14.526,190.986,1.333,0.222,1.000,1.000,2.000,27.825,50.814,428.408,177.614,8.020,12.270,52.750,21.063,124.000,134.000,114.000,338.780,94.103,611.214,0.443,1.726
16.353,236.111,1.375,0.234,1.000,1.000,2.000,29.509,52.221,121.041,79.196,8.880,13.337,7.000,4.580,94.000,134.000,113.050,188.260,33.797,230.594,0.333,1.150
18.733,210.729,1.357,0.230,1.000,1.000,2.000,27.456,49.488,0.000,0.000,7.620,11.460,0.000,0.000,80.000,124.000,112.000,116.420,19.080,71.757,0.267,0.953
